A,P,N,V,Z,S,H,C,G
-0.0826,0.4174,-0.0174,-0.0174,-0.0149,-0.0015,0.0000,-0.0005,-0.0005
-0.0831,0.4169,-0.0173,-0.0173,-0.0153,-0.0013,-0.0004,-0.0003,0.0005
-0.0831,0.4169,-0.0173,-0.0173,-0.0153,-0.0013,-0.0004,0.0005,-0.0003
-0.0832,0.4168,-0.0172,-0.0172,-0.0155,-0.0012,-0.0006,0.0003,0.0003
-0.0826,0.4174,-0.0174,-0.0174,-0.0149,0.0000,-0.0015,-0.0005,-0.0005
-0.0831,0.4169,-0.0173,-0.0173,-0.0153,-0.0004,-0.0013,-0.0003,0.0005
-0.0831,0.4169,-0.0173,-0.0173,-0.0153,-0.0004,-0.0013,0.0005,-0.0003
-0.0832,0.4168,-0.0172,-0.0172,-0.0155,-0.0006,-0.0012,0.0003,0.0003
-0.0846,0.4154,-0.0168,-0.0168,-0.0169,0.0015,0.0015,-0.0003,-0.0003
-0.0848,0.4152,-0.0167,-0.0167,-0.0171,0.0013,0.0013,-0.0002,0.0003
-0.0848,0.4152,-0.0167,-0.0167,-0.0171,0.0013,0.0013,0.0003,-0.0002
-0.0849,0.4151,-0.0166,-0.0166,-0.0172,0.0012,0.0012,0.0002,0.0002
-0.0891,0.4109,-0.0151,-0.0151,-0.0032,0.0002,0.0002,-0.0031,-0.0031
-0.0984,0.4016,-0.0132,-0.0132,-0.0004,0.0021,0.0021,-0.0012,0.0031
-0.0984,0.4016,-0.0132,-0.0132,-0.0004,0.0021,0.0021,0.0031,-0.0012
-0.1003,0.3997,-0.0126,-0.0126,0.0005,0.0027,0.0027,0.0012,0.0012
