texture=?,root=?,color=?,surface=?,sound=?,umbilicus=?
-0.0864,-0.3117,0.0679,-0.0278,-0.0432,0.0123
-0.0864,-0.3117,0.0679,-0.0278,-0.0432,0.0123
0.1327,-0.4352,-0.0463,0.0093,-0.0247,-0.0247
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.0957,-0.4352,-0.0463,0.0093,0.0494,-0.0617
-0.0340,-0.4352,-0.0463,0.0093,0.0864,0.0309
-0.0340,-0.4352,-0.0463,0.0093,0.0864,0.0309
0.1327,-0.4352,-0.0463,0.0093,-0.0247,-0.0247
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.1265,-0.4228,-0.0340,-0.0093,-0.0247,-0.0247
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
0.0895,-0.4228,-0.0340,-0.0093,0.0494,-0.0617
-0.0401,-0.4228,-0.0340,-0.0093,0.0864,0.0309
-0.0401,-0.4228,-0.0340,-0.0093,0.0864,0.0309
0.1265,-0.4228,-0.0340,-0.0093,-0.0247,-0.0247
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
-0.1867,0.0602,-0.2176,0.0046,-0.0247,-0.0247
-0.2052,0.0602,-0.2176,0.0046,-0.0432,0.0123
-0.2052,0.0602,-0.2176,0.0046,-0.0432,0.0123
-0.2238,0.0602,-0.2176,0.0046,0.0494,-0.0617
-0.3534,0.0602,-0.2176,0.0046,0.0864,0.0309
-0.3534,0.0602,-0.2176,0.0046,0.0864,0.0309
-0.1867,0.0602,-0.2176,0.0046,-0.0247,-0.0247
-0.2052,0.0602,-0.2176,0.0046,-0.0432,0.0123
-0.2052,0.0602,-0.2176,0.0046,-0.0432,0.0123
-0.1836,0.0633,-0.2145,-0.0046,-0.0247,-0.0247
-0.2022,0.0633,-0.2145,-0.0046,-0.0432,0.0123
-0.2022,0.0633,-0.2145,-0.0046,-0.0432,0.0123
-0.2207,0.0633,-0.2145,-0.0046,0.0494,-0.0617
-0.3503,0.0633,-0.2145,-0.0046,0.0864,0.0309
-0.3503,0.0633,-0.2145,-0.0046,0.0864,0.0309
-0.1836,0.0633,-0.2145,-0.0046,-0.0247,-0.0247
-0.2022,0.0633,-0.2145,-0.0046,-0.0432,0.0123
-0.2022,0.0633,-0.2145,-0.0046,-0.0432,0.0123
0.1512,0.0648,0.4352,0.0093,-0.0247,-0.0247
0.1327,0.0648,0.4352,0.0093,-0.0432,0.0123
0.1327,0.0648,0.4352,0.0093,-0.0432,0.0123
0.1142,0.0648,0.4352,0.0093,0.0494,-0.0617
-0.0154,0.0648,0.4352,0.0093,0.0864,0.0309
-0.0154,0.0648,0.4352,0.0093,0.0864,0.0309
0.1512,0.0648,0.4352,0.0093,-0.0247,-0.0247
0.1327,0.0648,0.4352,0.0093,-0.0432,0.0123
