Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
2.667857142857110037e-02,-1.342857142857143971e-01,-1.085119047619046567e-01,-1.205595238095238941e-01,-6.904761904761845884e-03,-1.354166666666661856e-01,4.488095238095234606e-03,-1.387023809523810769e-01,1.334523809523806975e-02,3.986904761904767197e-02
4.785714285714276484e-02,-1.417738095238094687e-01,-9.922619047619044008e-02,-1.116904761904762150e-01,-1.598809523809521099e-02,-9.640476190476193752e-02,6.714285714285701291e-03,-1.472023809523810289e-01,2.684523809523805052e-02,-2.913095238095239625e-02
1.058333333333334042e-02,-1.192619047619048883e-01,-1.123333333333333128e-01,-1.335952380952379615e-01,-8.476190476190453155e-03,-1.184285714285714802e-01,1.344047619047620407e-02,-1.334285714285714519e-01,-1.609523809523808954e-02,5.759523809523808824e-02
-1.190476190460199035e-05,-3.351190476190459011e-02,-1.291309523809523740e-01,-1.464166666666666949e-01,-2.569047619047621842e-02,-1.841666666666667493e-02,2.494047619047622469e-02,-1.627857142857142003e-01,-3.008333333333334386e-02,-3.889285714285715262e-02
2.953571428571332563e-02,-1.138015873015880142e-01,-1.263849206349204612e-01,-9.471825396825400700e-02,5.722222222222204079e-03,-1.250992063492063766e-01,-8.523015873015878097e-02,-1.049206349206349559e-01,2.232936507936507387e-02,3.256746031746029363e-02
2.463095238095149020e-02,-1.310912698412702304e-01,-1.149603174603176375e-01,-9.854365079365087765e-02,-6.043650793650838862e-03,-1.249722222222222068e-01,-1.718650793650796857e-02,-8.669841269841262188e-02,2.714682539682538101e-02,-3.228174603174606416e-02
1.288888888888854722e-02,-1.190277777777782181e-01,-1.134801587301587922e-01,-1.036468253968254455e-01,7.222222222222551488e-04,-1.245396825396824503e-01,-2.289682539682539111e-02,-9.713095238095238726e-02,-2.852777777777780119e-02,3.563888888888887968e-02
1.130952380952510161e-03,-1.279047619047622986e-01,-1.102857142857146394e-01,-1.170119047619048447e-01,-7.607142857142841844e-03,-1.313571428571428112e-01,-1.682142857142858786e-02,6.285714285714294643e-03,-2.546428571428575177e-02,-3.096428571428576360e-02
4.378968253968202468e-02,4.605158730158680214e-02,5.394444444444453091e-02,9.098015873015870281e-02,-2.068650793650793351e-02,8.406349206349204850e-02,-4.160317460317472515e-02,9.394444444444442766e-02,3.283333333333329079e-02,5.668253968253954278e-02
1.541666666666658692e-01,-6.185714285714324912e-02,6.153571428571405488e-02,9.107142857142853931e-02,-3.484523809523808191e-02,7.667857142857129049e-02,-2.208333333333335410e-02,7.854761904761917157e-02,1.385714285714286509e-01,-4.178571428571425245e-02
1.588095238095141998e-02,4.961507936507881383e-02,5.910714285714310789e-02,7.125396825396823619e-02,-2.406349206349206113e-02,7.552777777777774926e-02,-4.071825396825400067e-02,8.967460317460312913e-02,-3.008333333333334039e-02,1.738055555555554077e-01
1.186507936507962685e-02,-3.901587301587312873e-02,-2.511111111111121938e-02,-2.900396825396825071e-02,-1.319682539682539013e-01,-1.556349206349212644e-02,-3.990873015873015739e-02,-3.994444444444447684e-02,-1.255158730158729419e-01,-1.258333333333333803e-01
1.152222222222218373e-01,-4.184523809523792853e-02,6.783333333333319004e-02,-9.448412698412586228e-03,9.316666666666677254e-02,-2.708333333333331691e-02,9.140476190476186369e-02,-6.685714285714283722e-02,9.492857142857145936e-02,1.226785714285715534e-01
2.753174603174522728e-02,-1.272896825396827025e-01,-9.325396825396836675e-02,-9.211111111111117133e-02,1.388888888888891761e-03,-1.158253968253969424e-01,5.234126984126949607e-03,-9.462301587301567840e-02,2.533333333333330842e-02,-9.638492063492064277e-02
1.770238095238085146e-02,-1.092500000000003191e-01,-1.003095238095237512e-01,-1.013928571428572012e-01,6.202380952380963548e-03,-1.095595238095236207e-01,1.296428571428572332e-02,-1.211666666666666864e-01,-9.670238095238091469e-02,4.151190476190477069e-02
-8.984126984126858395e-03,-1.239920634920637088e-01,-1.134880952380954988e-01,-1.134523809523810822e-01,-2.575396825396792343e-03,-1.259404761904760472e-01,8.345238095238100007e-03,-1.959523809523809612e-02,-2.453174603174605381e-02,-3.578571428571427487e-02
6.813095238095162598e-02,7.250000000000021705e-02,-5.166666666666555607e-03,6.845238095238194952e-03,-4.142857142857109612e-03,1.190357142857143002e-01,3.844047619047618464e-02,3.541666666666665880e-02,2.923809523809521929e-02,7.970238095238099674e-02
1.477777777777771195e-01,-5.559126984126998294e-02,5.114285714285703166e-02,8.933730158730167348e-02,-2.859126984126982018e-02,8.506349206349195224e-02,1.444444444444441950e-02,8.473015873015889154e-02,1.139682539682540519e-01,-6.228174603174604917e-02
2.406746031745909953e-02,7.553174603174543644e-02,-3.213492063492062040e-02,-1.699206349206330846e-02,-1.750396825396823008e-02,1.066031746031745608e-01,4.338095238095238809e-02,1.138769841269840905e-01,-2.962301587301586353e-02,1.727936507936505550e-01
-9.313095238095248085e-02,-1.959523809523812735e-02,-1.279642857142857248e-01,-2.051190476190474510e-02,-1.086190476190476012e-01,3.154761904761890258e-03,4.388095238095242323e-02,-7.202380952380951426e-03,-1.028571428571428276e-01,-1.271547619047618538e-01
-6.904761904757764079e-04,6.423809523809363708e-02,8.433333333333346837e-02,1.182619047619049291e-01,-2.230952380952376177e-02,1.082142857142856518e-01,-2.142857142857141663e-03,6.016666666666671548e-02,1.276190476190476250e-02,1.716666666666665300e-02
8.833333333332665793e-03,6.285714285714091853e-02,9.882142857142893477e-02,1.078095238095239244e-01,-8.333333333333331483e-03,1.097261904761903661e-01,-5.369047619047622247e-03,7.014285714285720119e-02,1.384523809523808408e-02,-1.833333333333333343e-02
6.992063492064055918e-03,6.686111111110933092e-02,1.036190476190481796e-01,1.009563492063495077e-01,-9.376984126984053147e-03,1.117182539682539943e-01,-6.686507936507931488e-03,6.296825396825402044e-02,-1.554365079365080046e-02,1.849206349206348673e-02
9.285714285709317783e-04,6.438095238095059569e-02,1.214761904761911260e-01,1.083214285714286518e-01,-3.345238095238087760e-03,1.189523809523809206e-01,-7.095238095238093692e-03,7.199999999999999456e-02,-1.653571428571429941e-02,-1.908333333333334103e-02
1.892857142857121838e-02,-1.358928571428575649e-01,-1.138928571428574898e-01,-1.066428571428570810e-01,-3.285714285714250778e-03,-1.197976190476191249e-01,-9.273809523809489752e-03,-1.314047619047620241e-01,1.385714285714284219e-02,2.740476190476190746e-02
3.551190476190471679e-02,-1.381190476190480021e-01,-1.005714285714287420e-01,-9.651190476190490974e-02,6.654761904761910714e-03,-1.075000000000000677e-01,-9.523809523809514260e-03,-1.392857142857143460e-01,1.529761904761902519e-02,-2.595238095238094553e-02
1.346428571428576887e-02,-1.322023809523813209e-01,-9.940476190476221774e-02,-1.146666666666667223e-01,6.166666666666723896e-03,-1.091190476190476433e-01,-1.182142857142856954e-02,-1.294285714285713096e-01,-1.527380952380951590e-02,3.228571428571427177e-02
2.235317460317456234e-02,-1.250515873015875523e-01,-9.042063492063519281e-02,-1.070000000000001367e-01,3.568650793650791908e-02,-9.512301587301595640e-02,-1.181349206349207107e-02,-1.420277777777776695e-01,-1.968253968253969727e-02,-2.692063492063491437e-02
3.464285714287050622e-03,5.923809523809371591e-02,1.134523809523813598e-01,1.196428571428573284e-01,-2.216666666666661234e-02,1.073333333333332251e-01,-9.261904761904771535e-03,5.048809523809520694e-02,6.095238095238104080e-03,1.171428571428568058e-02
6.698412698412897770e-03,6.203174603174409218e-02,1.050793650793652861e-01,1.036388888888889193e-01,-8.384920634920635732e-03,1.080555555555554464e-01,-8.849206349206516220e-04,6.432936507936518056e-02,1.161904761904760178e-02,-1.218253968253970448e-02
3.666666666668060015e-03,6.555952380952213832e-02,1.058095238095240753e-01,9.909523809523822224e-02,-8.761904761904710376e-03,1.055595238095238531e-01,1.630952380952386573e-03,5.583333333333336673e-02,-6.773809523809517889e-03,1.838095238095236242e-02
-2.523809523809344979e-03,6.592063492063321428e-02,1.216309523809527282e-01,1.046626984126984294e-01,-4.694444444444471551e-03,1.161349206349206742e-01,3.138888888888910662e-03,6.601984126984132561e-02,-1.301190476190476272e-02,-1.727777777777779813e-02
1.938095238095236678e-02,-1.340238095238096006e-01,-1.083690476190478785e-01,-1.178809523809523641e-01,-5.321428571428511722e-03,-1.327142857142855903e-01,3.726190476190479293e-03,-1.209642857142855660e-01,8.833333333333328458e-03,2.733333333333335183e-02
